name,price
Python微控制器编程从零开始 使用MicroPython,38.40
Python程序设计与问题求解（原书第2版）,87.90
零基础学Python,62.40
Python数据分析实战,53.90
Flask Web开发:基于Python的Web应用开发实战 第2版,51.80
Python数据分析基础,78.30
Django企业开发实战 高效Python Web框架指南,73.30
Python网络爬虫实战/清华科技大讲堂,67.80
深度学习入门 基于Python的理论与实现 人工智能书籍,37.80
Python与量化投资,75.20
Python程序员面试宝典,56.80
精通Python设计模式,33.80
Python高性能(第2版),42.40
PYTHON编程导论(第2版),51.60
Python 3.0科学计算指南,52.40
Python金融大数据分析,74.25
Python金融数据分析,56.60
跟老齐学Python,60.80
Python算法教程,43.40
PYTHON量化交易实战,58.70
Python网络编程(第3版),60.00
包邮 PySpark实战指南：利用Python和Spark构建数据密集型|6877019,34.30
Python金融实战,54.50
Python编程从入门到实践python3.0绝技核心编程基础教程网络爬虫入门书籍,54.00
正版 PYTHON程序设计 陈春晖 浙大 Python的Web应用程序开发实例展示,36.00
Python和HDF5大数据应用,28.50
从Python开始学编程,36.50
爱上Raspberry Pi 第2版 树莓派编程快速入门手册,41.00
图灵教育 Python网络爬虫权威指南 第2版 Python 3网络爬虫开发实战入门教程 数据采集,59.25
现货包邮 R语言实战第2版 [R in Action:Data Analysis and],73.90
Python3从入门到实战,62.20
Python语言及其应用,56.80
Python自动化运维,53.10
Python并行编程手册,42.40
Python数据科学手册,76.30
Python物理学高效计算,74.20
深入理解PYTHON特性,34.70
游戏开发 Python游戏编程入门使用Pygame文件I/O用户输入数学和图形编程精灵动画数组计时和,56.26
【部分】Python并行编程参考手册并行计算与Python起步.基于线程的并行. 基于进程的并行异步,77.00
PYTHON从入门到精通明日科技,59.10
Python程序设计 从基础入门到实战应用 Python入门教程 Python与人工智能技术 Pyt,58.00
新书 Python数据预处理技术与实践 白宁超 大数据分析与挖掘从业者和AI技术开发人员参考书,50.30
Python编程基础与案例集锦(中学版),34.30
Python Django开发实战(视频讲解版),51.00
跟着“小微”学Python/初中信息技术校本教材,28.40
Python编程从入门到实践 python3.0 绝技核心编程基础视频教程网络爬虫入门书,89.00
【套装8本】Python基础教程+JAVA编程思想+代码整洁之道+C primer plus+C++,463.10
计算机视觉与深度学习实战：以MATLAB、Python为工具 讲解36个计算机视觉与深度学习实战案,86.30
